"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2023","2,196.50","2,215.00","2,218.00","2,194.50","","-0.57%"
"12/01/2023","2,209.00","2,187.00","2,183.00","2,185.00","","0.73%"
"11/30/2023","2,193.00","2,202.00","2,200.00","2,198.00","63.09K","-0.95%"
"11/29/2023","2,214.00","2,220.00","2,217.50","2,218.00","45.23K","-0.14%"
"11/28/2023","2,217.00","2,207.00","2,208.00","2,207.00","58.48K","0.29%"
"11/27/2023","2,210.50","2,223.00","2,221.00","2,221.50","43.90K","-0.25%"
"11/24/2023","2,216.00","2,219.00","2,216.00","2,217.00","33.86K","-0.38%"
"11/23/2023","2,224.50","2,221.00","2,220.00","2,221.00","25.81K","0.27%"
"11/22/2023","2,218.50","2,235.00","2,237.00","2,233.00","57.60K","-1.77%"
"11/21/2023","2,258.50","2,244.00","2,239.00","2,239.00","68.14K","0.58%"
"11/20/2023","2,245.50","2,227.00","2,228.00","2,227.00","56.95K","1.74%"
"11/17/2023","2,207.00","2,203.50","2,203.00","2,203.50","50.95K","-0.38%"
"11/16/2023","2,215.50","2,223.00","2,219.00","2,220.00","50.83K","-0.76%"
"11/15/2023","2,232.50","2,233.00","2,232.50","2,232.50","50.73K","0.07%"
"11/14/2023","2,231.00","2,220.00","2,218.00","2,218.50","59.27K","0.34%"
"11/13/2023","2,223.50","2,230.00","2,225.00","2,222.50","51.72K","0.38%"
"11/10/2023","2,215.00","2,222.00","2,219.00","2,221.00","68.04K","-1.23%"
"11/09/2023","2,242.50","2,237.00","2,236.00","2,236.00","51.75K","-0.93%"
"11/08/2023","2,263.50","2,270.00","2,273.00","2,270.00","38.18K","-0.07%"
"11/07/2023","2,265.00","2,265.00","2,263.50","2,264.00","51.62K","-0.98%"
"11/06/2023","2,287.50","2,279.00","2,278.00","2,279.00","51.86K","1.49%"