"id","idc","location","name","connection","stream-url","stream-thumbnail","created_at","updated_at"
1,"1674881c-acb2-47d6-b9aa-8e5dfdace728","cctv-bantul","ParkirMakamImogiri","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/ParkirMakamImogiri.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:32","2023-04-10 07:10:32"
2,"1a84d864-817c-4846-9151-02457609a2ea","cctv-bantul","PasarBantul","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/PasarBantul.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:32","2023-04-10 07:10:32"
3,"21ab4bf2-feb1-48a3-a8e7-7ada98c9ac49","cctv-bantul","TerminalImogiri02","0","https://mam.jogjaprov.go.id:1937/cctv-bantul/TerminalImogiri02.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:33","2023-04-10 07:10:33"
4,"255ab060-be5f-49cd-9fd9-f16ec050d6d6","cctv-bantul","BunderanSrandakan","0","https://mam.jogjaprov.go.id:1937/cctv-bantul/BunderanSrandakan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:33","2023-04-10 07:10:33"
5,"3b201651-d059-4ec9-a396-8e1f1de4ff16","cctv-bantul","BendungKlegen","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/BendungKlegen.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:33","2023-04-10 07:10:33"
6,"45c6a274-0750-4f08-8352-6d018739c15d","cctv-bantul","Paseban","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/Paseban.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:34","2023-04-10 07:10:34"
7,"653c1239-e982-413e-9182-b23ee8028c1b","cctv-bantul","TPRParangtritis","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/TPRParangtritis.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:34","2023-04-10 07:10:34"
8,"699d0e6e-4554-432e-bc23-6a1c43802596","cctv-bantul","MasjidPajimatanImogiri","0","https://mam.jogjaprov.go.id:1937/cctv-bantul/MasjidPajimatanImogiri.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:35","2023-04-10 07:10:35"
9,"6e68743b-91c2-4934-a0d0-d5713313bb30","cctv-bantul","BendungNiten","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/BendungNiten.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:35","2023-04-10 07:10:35"
10,"905e31d0-a58f-461f-b2d6-a0ac74a07a7a","cctv-bantul","TanggaPajimatanImogiri","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/TanggaPajimatanImogiri.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:36","2023-04-10 07:10:36"
11,"98ba1125-7e6f-4d30-9703-f2ae174f9efe","cctv-bantul","SupitUrangPajimatanImogiri","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/SupitUrangPajimatanImogiri.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:36","2023-04-10 07:10:36"
12,"b3c14180-5df3-44b3-95a0-0bf13d228b49","cctv-bantul","TerminalImogiri01","1","https://mam.jogjaprov.go.id:1937/cctv-bantul/TerminalImogiri01.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:10:37","2023-04-10 07:10:37"
13,"2ec23774-fe7d-4a0d-adaf-54addc916995","cctv-kominfosleman","PANTAI_BARON","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/PANTAI_BARON.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:13","2023-04-10 07:11:13"
14,"30cf48b6-2735-4eb3-b0ed-3a9985c67ae3","cctv-kominfosleman","SIMPANG_4_TROWONO","0","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_4_TROWONO.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:13","2023-04-10 07:11:13"
15,"49d43ede-8b4e-422d-80d5-ae1eae3b5b68","cctv-kominfosleman","JALAN_BARON_MULO","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/JALAN_BARON_MULO.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:13","2023-04-10 07:11:13"
16,"6b39ed04-7242-4621-a616-6ddc9c323a53","cctv-kominfosleman","JALAN_MANTHOUS_PLAYEN","0","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/JALAN_MANTHOUS_PLAYEN.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:13","2023-04-10 07:11:13"
17,"72ec0137-a011-4cd2-b2c3-71c39614fcec","cctv-kominfosleman","BUNDARAN_PLN","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/BUNDARAN_PLN.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
18,"76b5020f-3f27-4d33-92f0-89ff812281c3","cctv-kominfosleman","SIMPANG_4_GADING","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_4_GADING.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
19,"7e1ef527-972a-4a5f-9d83-4145ae592d2f","cctv-kominfosleman","SIMPANG_4_PATUK","0","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_4_PATUK.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
20,"8a1b612d-d7e0-4fb3-ba13-6cc9940db96b","cctv-kominfosleman","TUGU_SELAMAT_DATANG_GK","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/TUGU_SELAMAT_DATANG_GK.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
21,"8fac247a-dbb6-407e-9f19-1ec89e58f2ea","cctv-kominfosleman","SIMPANG_3_AMIGO","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_3_AMIGO.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
22,"95275779-8726-45a8-ba54-e4d08f17d6c5","cctv-kominfosleman","JALAN_NASIONAL_III_PLAYEN","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/JALAN_NASIONAL_III_PLAYEN.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:14","2023-04-10 07:11:14"
23,"9653d18c-a8d8-44d9-b8b3-118f43686f52","cctv-kominfosleman","BUNDERAN_SIYONO","0","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/BUNDERAN_SIYONO.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:15","2023-04-10 07:11:15"
24,"9b7e0583-aace-4fcd-a83f-139605b1fe06","cctv-kominfosleman","SIMPANG_3_PLAYEN","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_3_PLAYEN.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:15","2023-04-10 07:11:15"
25,"ebe25aff-e2aa-404c-bf99-8b08090c8ac4","cctv-kominfosleman","SIMPANG_4_RSUD_WONOSARI","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/SIMPANG_4_RSUD_WONOSARI.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:15","2023-04-10 07:11:15"
26,"efb1e4d1-ed8f-4c0a-a8fe-f4c5072efd41","cctv-kominfosleman","ALUN-ALUN_WONOSARI","0","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/ALUN-ALUN_WONOSARI.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:15","2023-04-10 07:11:15"
27,"fa9450ea-7903-4853-ba9a-8066cb91b4f0","cctv-kominfosleman","PANTAI_KUKUP","1","https://mam.jogjaprov.go.id:1937/cctv-kominfogk/PANTAI_KUKUP.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:15","2023-04-10 07:11:15"
28,"00ea24c7-c2a0-459b-a416-24f6fc110697","cctv-kota","ParkiranNgabean","0","https://mam.jogjaprov.go.id:1937/atcs-kota/ParkiranNgabean.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:22","2023-04-10 07:11:22"
29,"02469639-5234-4f3b-92e3-8421020a999f","cctv-kota","Simpang_Pingit3","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Simpang_Pingit3.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:22","2023-04-10 07:11:22"
30,"084ca2c6-eddd-4f86-9d68-ce4acf014d6d","cctv-kota","SimpangTerbanUtara","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangTerbanUtara.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:22","2023-04-10 07:11:22"
31,"08a3f26a-ca18-4c70-b3d7-6f62d338a069","cctv-kota","Jlagran","0","https://mam.jogjaprov.go.id:1937/atcs-kota/Jlagran.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
32,"0b41c011-4f97-410d-99c8-fe56d890b65b","cctv-kota","SimpangDemanganSelatan","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangDemanganSelatan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
33,"1150991e-c341-4147-a973-1c69848762ff","cctv-kota","SimpangDeBritto","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangDeBritto.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
34,"160cf4f8-76fc-45bd-b89c-7efa467f8cd1","cctv-kota","Gondomanan","0","https://mam.jogjaprov.go.id:1937/atcs-kota/Gondomanan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
35,"1667432e-fcef-4bb3-b48a-b7143cc0e401","cctv-kota","Simpang_PasarGading2","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Simpang_PasarGading2.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
36,"1c172459-3b5a-41dc-aedc-6f03dd056a8f","cctv-kota","SimpangBorobudurPlaza","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangBorobudurPlaza.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
37,"2533ef3d-4087-494e-b876-005c2bf2444a","cctv-kota","SimpangGaleriaTImurSelatan","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangGaleriaTImurSelatan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
38,"26fbb2b8-ecfc-4030-b627-e37896e856b4","cctv-kota","Jetis","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Jetis.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
39,"272da8cc-6bb1-440d-b624-7d178108baa6","cctv-kota","SimpangAmongrogoTimur","1","https://mam.jogjaprov.go.id:1937/atcs-kota/SimpangAmongrogoTimur.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:23","2023-04-10 07:11:23"
40,"2a57d9bb-8ce9-4644-9799-2ddf184126fe","cctv-kota","Sentul","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Sentul.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:24","2023-04-10 07:11:24"
41,"2cafef88-345d-45ce-851c-884c386d6df9","cctv-kota","Simpang_Pingit2","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Simpang_Pingit2.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:24","2023-04-10 07:11:24"
42,"33189ed4-03a4-4c36-b04d-7a0e0c365299","cctv-kota","Wirobrajan","1","https://mam.jogjaprov.go.id:1937/atcs-kota/Wirobrajan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:24","2023-04-10 07:11:24"
43,"01326805-214e-409f-8945-39a6c030b9b7","cctv-kp","Maguwoharjo1","0","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Maguwoharjo1.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
44,"0cd90e3d-527a-41fc-9ff3-153a91549322","cctv-kp","Sidomoyo_Utara","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Sidomoyo_Utara.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
45,"1717fdd9-96d3-444b-9d4e-49bf9bf0929f","cctv-kp","Selomartani_Utara","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Selomartani_Utara.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
46,"2187954f-3884-420a-80f5-40f33cc6df46","cctv-kp","Perempatan_PasarStan","0","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Perempatan_PasarStan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
47,"4220f2da-422f-4b87-83e3-ab23fae670cf","cctv-kp","Tirtoadi_Selatan","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Tirtoadi_Selatan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
48,"4ec13b40-345d-439f-8310-8e25c55ee815","cctv-kp","Perempatan_Godean","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Perempatan_Godean.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
49,"64231447-0fec-4799-b883-776037e33406","cctv-kp","Selomartani_Selatan","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Selomartani_Selatan.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
50,"73a8a719-4b5f-41ad-95d2-43bdc309ccc8","cctv-kp","Babarsari2","1","https://mam.jogjaprov.go.id:1937/cctv-kominfosleman/Babarsari2.stream/playlist.m3u8","https://mam.jogjaprov.go.id/img/vid-thumb-360p.jpg","2023-04-10 07:11:30","2023-04-10 07:11:30"
