Cc 2;Country;Engtype 2;Gid 0;Gid 1;Gid 2;Hasc 2;Name 1;Name 2;Nl Name 1;Nl Name 2;Type 2;Varname 2;Geometry
1107;Indonesia;Regency;IDN;IDN.1_1;IDN.1.2_1;ID.AC.AB;Aceh;Aceh Barat;NA;NA;Kabupaten;NA;Polygon
1112;Indonesia;Regency;IDN;IDN.1_1;IDN.1.1_1;ID.AC.AD;Aceh;Aceh Barat Daya;NA;NA;Kabupaten;NA;MultiPolygon
1108;Indonesia;Regency;IDN;IDN.1_1;IDN.1.3_1;ID.AC.AR;Aceh;Aceh Besar;NA;NA;Kabupaten;NA;MultiPolygon
1116;Indonesia;Regency;IDN;IDN.1_1;IDN.1.4_1;ID.AC.AJ;Aceh;Aceh Jaya;NA;NA;Kabupaten;NA;MultiPolygon
1103;Indonesia;Regency;IDN;IDN.1_1;IDN.1.5_1;ID.AC.AS;Aceh;Aceh Selatan;NA;NA;Kabupaten;NA;MultiPolygon
1102;Indonesia;Regency;IDN;IDN.1_1;IDN.1.6_1;ID.AC.AN;Aceh;Aceh Singkil;NA;NA;Kabupaten;NA;MultiPolygon
1114;Indonesia;Regency;IDN;IDN.1_1;IDN.1.7_1;ID.AC.AM;Aceh;Aceh Tamiang;NA;NA;Kabupaten;NA;MultiPolygon
1106;Indonesia;Regency;IDN;IDN.1_1;IDN.1.8_1;ID.AC.AT;Aceh;Aceh Tengah;NA;NA;Kabupaten;NA;Polygon
1104;Indonesia;Regency;IDN;IDN.1_1;IDN.1.9_1;ID.AC.AG;Aceh;Aceh Tenggara;NA;NA;Kabupaten;NA;Polygon
1105;Indonesia;Regency;IDN;IDN.1_1;IDN.1.10_1;ID.AC.AI;Aceh;Aceh Timur;NA;NA;Kabupaten;NA;Polygon
1111;Indonesia;Regency;IDN;IDN.1_1;IDN.1.11_1;ID.AC.AU;Aceh;Aceh Utara;NA;NA;Kabupaten;NA;Polygon
1171;Indonesia;City;IDN;IDN.1_1;IDN.1.12_1;ID.AC.BA;Aceh;Banda Aceh;NA;NA;Kota;NA;Polygon
1117;Indonesia;Regency;IDN;IDN.1_1;IDN.1.13_1;ID.AC.BM;Aceh;Bener Meriah;NA;NA;Kabupaten;NA;Polygon
1110;Indonesia;Regency;IDN;IDN.1_1;IDN.1.14_1;ID.AC.BI;Aceh;Bireuen;NA;NA;Kabupaten;NA;Polygon
1113;Indonesia;Regency;IDN;IDN.1_1;IDN.1.15_1;ID.AC.GL;Aceh;Gayo Lues;NA;NA;Kabupaten;NA;Polygon
1173;Indonesia;City;IDN;IDN.1_1;IDN.1.16_1;ID.AC.LA;Aceh;Langsa;NA;NA;Kota;NA;MultiPolygon
1174;Indonesia;City;IDN;IDN.1_1;IDN.1.17_1;ID.AC.LH;Aceh;Lhokseumawe;NA;NA;Kota;NA;Polygon
1115;Indonesia;Regency;IDN;IDN.1_1;IDN.1.18_1;ID.AC.NR;Aceh;Nagan Raya;NA;NA;Kabupaten;NA;Polygon
1109;Indonesia;Regency;IDN;IDN.1_1;IDN.1.20_1;ID.AC.PD;Aceh;Pidie;NA;NA;Kabupaten;NA;Polygon
1118;Indonesia;Regency;IDN;IDN.1_1;IDN.1.19_1;ID.AC.PJ;Aceh;Pidie Jaya;NA;NA;Kabupaten;NA;Polygon
1172;Indonesia;City;IDN;IDN.1_1;IDN.1.21_1;ID.AC.SA;Aceh;Sabang;NA;NA;Kota;NA;MultiPolygon
1101;Indonesia;Regency;IDN;IDN.1_1;IDN.1.22_1;ID.AC.SI;Aceh;Simeulue;NA;NA;Kabupaten;NA;MultiPolygon
1175;Indonesia;City;IDN;IDN.1_1;IDN.1.23_1;ID.AC.SU;Aceh;Subulussalam;NA;NA;Kota;NA;Polygon
5103;Indonesia;Regency;IDN;IDN.2_1;IDN.2.1_1;ID.BA.BD;Bali;Badung;NA;NA;Kabupaten;NA;MultiPolygon
5106;Indonesia;Regency;IDN;IDN.2_1;IDN.2.2_1;ID.BA.BN;Bali;Bangli;NA;NA;Kabupaten;NA;Polygon
5108;Indonesia;Regency;IDN;IDN.2_1;IDN.2.3_1;ID.BA.BL;Bali;Buleleng;NA;NA;Kabupaten;NA;MultiPolygon
5171;Indonesia;City;IDN;IDN.2_1;IDN.2.4_1;ID.BA.DE;Bali;Denpasar;NA;NA;Kota;NA;MultiPolygon
5104;Indonesia;Regency;IDN;IDN.2_1;IDN.2.5_1;ID.BA.GI;Bali;Gianyar;NA;NA;Kabupaten;NA;Polygon
5101;Indonesia;Regency;IDN;IDN.2_1;IDN.2.6_1;ID.BA.JE;Bali;Jembrana;NA;NA;Kabupaten;NA;Polygon
5107;Indonesia;Regency;IDN;IDN.2_1;IDN.2.7_1;ID.BA.KA;Bali;Karangasem;NA;NA;Kabupaten;NA;Polygon
5105;Indonesia;Regency;IDN;IDN.2_1;IDN.2.8_1;ID.BA.KL;Bali;Klungkung;NA;NA;Kabupaten;NA;MultiPolygon
5102;Indonesia;Regency;IDN;IDN.2_1;IDN.2.9_1;ID.BA.TA;Bali;Tabanan;NA;NA;Kabupaten;NA;Polygon
1901;Indonesia;Regency;IDN;IDN.3_1;IDN.3.4_1;ID.BB.BA;Bangka Belitung;Bangka;NA;NA;Kabupaten;NA;MultiPolygon
1903;Indonesia;Regency;IDN;IDN.3_1;IDN.3.1_1;ID.BB.BB;Bangka Belitung;Bangka Barat;NA;NA;Kabupaten;NA;MultiPolygon
1905;Indonesia;Regency;IDN;IDN.3_1;IDN.3.2_1;ID.BB.BS;Bangka Belitung;Bangka Selatan;NA;NA;Kabupaten;NA;MultiPolygon
1904;Indonesia;Regency;IDN;IDN.3_1;IDN.3.3_1;ID.BB.BG;Bangka Belitung;Bangka Tengah;NA;NA;Kabupaten;NA;MultiPolygon
1902;Indonesia;Regency;IDN;IDN.3_1;IDN.3.6_1;ID.BB.BE;Bangka Belitung;Belitung;NA;NA;Kabupaten;NA;MultiPolygon
1906;Indonesia;Regency;IDN;IDN.3_1;IDN.3.5_1;ID.BB.BT;Bangka Belitung;Belitung Timur;NA;NA;Kabupaten;NA;MultiPolygon
1971;Indonesia;City;IDN;IDN.3_1;IDN.3.7_1;ID.BB.PP;Bangka Belitung;Pangkalpinang;NA;NA;Kota;NA;Polygon
3672;Indonesia;City;IDN;IDN.4_1;IDN.4.1_1;ID.BT.CL;Banten;Cilegon;NA;NA;Kota;NA;MultiPolygon
3673;Indonesia;City;IDN;IDN.4_1;IDN.4.2_1;ID.BT.SK;Banten;Kota Serang;NA;NA;Kota;NA;MultiPolygon
3671;Indonesia;City;IDN;IDN.4_1;IDN.4.3_1;ID.BT.TM;Banten;Kota Tangerang;NA;NA;Kota;NA;Polygon
3602;Indonesia;Regency;IDN;IDN.4_1;IDN.4.4_1;ID.BT.LE;Banten;Lebak;NA;NA;Kabupaten;NA;MultiPolygon
3601;Indonesia;Regency;IDN;IDN.4_1;IDN.4.5_1;ID.BT.PA;Banten;Pandeglang;NA;NA;Kabupaten;NA;MultiPolygon
3604;Indonesia;Regency;IDN;IDN.4_1;IDN.4.6_1;ID.BT.SR;Banten;Serang;NA;NA;Kabupaten;NA;MultiPolygon
3603;Indonesia;Regency;IDN;IDN.4_1;IDN.4.8_1;ID.BT.TG;Banten;Tangerang;NA;NA;Kabupaten;NA;Polygon
3674;Indonesia;City;IDN;IDN.4_1;IDN.4.7_1;ID.BT.TS;Banten;Tangerang Selatan;NA;NA;Kota;NA;Polygon
1771;Indonesia;City;IDN;IDN.5_1;IDN.5.4_1;ID.BE.BE;Bengkulu;Bengkulu;NA;NA;Kota;NA;Polygon
1701;Indonesia;Regency;IDN;IDN.5_1;IDN.5.1_1;ID.BE.BS;Bengkulu;Bengkulu Selatan;NA;NA;Kabupaten;NA;Polygon
1709;Indonesia;Regency;IDN;IDN.5_1;IDN.5.2_1;ID.BE.BN;Bengkulu;Bengkulu Tengah;NA;NA;Kabupaten;NA;Polygon
1703;Indonesia;Regency;IDN;IDN.5_1;IDN.5.3_1;ID.BE.BT;Bengkulu;Bengkulu Utara;NA;NA;Kabupaten;NA;MultiPolygon
1704;Indonesia;Regency;IDN;IDN.5_1;IDN.5.5_1;ID.BE.KA;Bengkulu;Kaur;NA;NA;Kabupaten;NA;Polygon
1708;Indonesia;Regency;IDN;IDN.5_1;IDN.5.6_1;ID.BE.KE;Bengkulu;Kepahiang;NA;NA;Kabupaten;NA;Polygon
1707;Indonesia;Regency;IDN;IDN.5_1;IDN.5.7_1;ID.BE.LE;Bengkulu;Lebong;NA;NA;Kabupaten;NA;Polygon
1706;Indonesia;Regency;IDN;IDN.5_1;IDN.5.8_1;ID.BE.MU;Bengkulu;Mukomuko;NA;NA;Kabupaten;NA;Polygon
1702;Indonesia;Regency;IDN;IDN.5_1;IDN.5.9_1;ID.BE.RL;Bengkulu;Rejang Lebong;NA;NA;Kabupaten;NA;Polygon
1705;Indonesia;Regency;IDN;IDN.5_1;IDN.5.10_1;ID.BE.SE;Bengkulu;Seluma;NA;NA;Kabupaten;NA;Polygon
7501;Indonesia;Regency;IDN;IDN.6_1;IDN.6.1_1;ID.GO.BO;Gorontalo;Boalemo;NA;NA;Kabupaten;NA;MultiPolygon
7504;Indonesia;Regency;IDN;IDN.6_1;IDN.6.2_1;ID.GO.BB;Gorontalo;Bone Bolango;NA;NA;Kabupaten;NA;Polygon
7502;Indonesia;Regency;IDN;IDN.6_1;IDN.6.3_1;ID.GO.GO;Gorontalo;Danau Limboto;NA;NA;Kabupaten;NA;Polygon
7502;Indonesia;Regency;IDN;IDN.6_1;IDN.6.5_1;ID.GO.GO;Gorontalo;Gorontalo;NA;NA;Kabupaten;NA;MultiPolygon
7505;Indonesia;Regency;IDN;IDN.6_1;IDN.6.4_1;ID.GO.GU;Gorontalo;Gorontalo Utara;NA;NA;Kabupaten;NA;MultiPolygon
7571;Indonesia;City;IDN;IDN.6_1;IDN.6.6_1;ID.GO.GM;Gorontalo;Kota Gorontalo;NA;NA;Kota;NA;MultiPolygon
7503;Indonesia;Regency;IDN;IDN.6_1;IDN.6.7_1;ID.GO.PO;Gorontalo;Pohuwato;NA;NA;Kabupaten;NA;MultiPolygon
3174;Indonesia;City;IDN;IDN.7_1;IDN.7.1_1;ID.JK.JB;Jakarta Raya;Jakarta Barat;NA;NA;Kota;NA;Polygon
3173;Indonesia;City;IDN;IDN.7_1;IDN.7.2_1;ID.JK.JP;Jakarta Raya;Jakarta Pusat;NA;NA;Kota;NA;Polygon
3171;Indonesia;City;IDN;IDN.7_1;IDN.7.3_1;ID.JK.JS;Jakarta Raya;Jakarta Selatan;NA;NA;Kota;NA;Polygon
3172;Indonesia;City;IDN;IDN.7_1;IDN.7.4_1;ID.JK.JT;Jakarta Raya;Jakarta Timur;NA;NA;Kota;NA;Polygon
3175;Indonesia;City;IDN;IDN.7_1;IDN.7.5_1;ID.JK.JU;Jakarta Raya;Jakarta Utara;NA;NA;Kota;NA;Polygon
3101;Indonesia;Regency;IDN;IDN.7_1;IDN.7.6_1;ID.JK.KS;Jakarta Raya;Kepulauan Seribu;NA;NA;Kabupaten;NA;MultiPolygon
1504;Indonesia;Regency;IDN;IDN.8_1;IDN.8.1_1;ID.JA.BA;Jambi;Batang Hari;NA;NA;Kabupaten;NA;Polygon
1509;Indonesia;Regency;IDN;IDN.8_1;IDN.8.2_1;ID.JA.BT;Jambi;Bungo;NA;NA;Kabupaten;NA;Polygon
1571;Indonesia;City;IDN;IDN.8_1;IDN.8.3_1;ID.JA.JA;Jambi;Jambi;NA;NA;Kota;NA;Polygon
1501;Indonesia;Regency;IDN;IDN.8_1;IDN.8.4_1;ID.JA.KR;Jambi;Kerinci;NA;NA;Kabupaten;NA;Polygon
1502;Indonesia;Regency;IDN;IDN.8_1;IDN.8.5_1;ID.JA.SB;Jambi;Merangin;NA;NA;Kabupaten;NA;Polygon
1505;Indonesia;Regency;IDN;IDN.8_1;IDN.8.6_1;ID.JA.MJ;Jambi;Muaro Jambi;NA;NA;Kabupaten;NA;Polygon
1503;Indonesia;Regency;IDN;IDN.8_1;IDN.8.7_1;ID.JA.SA;Jambi;Sarolangun;NA;NA;Kabupaten;NA;Polygon
1572;Indonesia;City;IDN;IDN.8_1;IDN.8.8_1;ID.JA.SP;Jambi;Sungai Penuh;NA;NA;Kota;NA;Polygon
1507;Indonesia;Regency;IDN;IDN.8_1;IDN.8.9_1;ID.JA.TJ;Jambi;Tanjung Jabung B;NA;NA;Kabupaten;NA;Polygon
1506;Indonesia;Regency;IDN;IDN.8_1;IDN.8.10_1;ID.JA.TT;Jambi;Tanjung Jabung T;NA;NA;Kabupaten;NA;MultiPolygon
1508;Indonesia;Regency;IDN;IDN.8_1;IDN.8.11_1;ID.JA.TE;Jambi;Tebo;NA;NA;Kabupaten;NA;Polygon
3204;Indonesia;Regency;IDN;IDN.9_1;IDN.9.2_1;ID.JR.BU;Jawa Barat;Bandung;NA;NA;Kabupaten;NA;Polygon
3217;Indonesia;Regency;IDN;IDN.9_1;IDN.9.1_1;ID.JR.BB;Jawa Barat;Bandung Barat;NA;NA;Kabupaten;NA;Polygon
3279;Indonesia;City;IDN;IDN.9_1;IDN.9.3_1;ID.JR.BA;Jawa Barat;Banjar;NA;NA;Kota;NA;Polygon
3216;Indonesia;Regency;IDN;IDN.9_1;IDN.9.4_1;ID.JR.BS;Jawa Barat;Bekasi;NA;NA;Kabupaten;NA;Polygon
3201;Indonesia;Regency;IDN;IDN.9_1;IDN.9.5_1;ID.JR.BR;Jawa Barat;Bogor;NA;NA;Kabupaten;NA;Polygon
3207;Indonesia;Regency;IDN;IDN.9_1;IDN.9.6_1;ID.JR.CS;Jawa Barat;Ciamis;NA;NA;Kabupaten;NA;Polygon
3203;Indonesia;Regency;IDN;IDN.9_1;IDN.9.7_1;ID.JR.CJ;Jawa Barat;Cianjur;NA;NA;Kabupaten;NA;Polygon
3277;Indonesia;City;IDN;IDN.9_1;IDN.9.8_1;ID.JR.CI;Jawa Barat;Cimahi;NA;NA;Kota;NA;Polygon
3209;Indonesia;Regency;IDN;IDN.9_1;IDN.9.9_1;ID.JR.CR;Jawa Barat;Cirebon;NA;NA;Kabupaten;NA;MultiPolygon
3276;Indonesia;City;IDN;IDN.9_1;IDN.9.10_1;ID.JR.DE;Jawa Barat;Depok;NA;NA;Kota;NA;Polygon
3205;Indonesia;Regency;IDN;IDN.9_1;IDN.9.11_1;ID.JR.GA;Jawa Barat;Garut;NA;NA;Kabupaten;NA;Polygon
3212;Indonesia;Regency;IDN;IDN.9_1;IDN.9.12_1;ID.JR.IN;Jawa Barat;Indramayu;NA;NA;Kabupaten;NA;MultiPolygon
3215;Indonesia;Regency;IDN;IDN.9_1;IDN.9.13_1;ID.JR.KA;Jawa Barat;Karawang;NA;NA;Kabupaten;NA;Polygon
3273;Indonesia;City;IDN;IDN.9_1;IDN.9.14_1;ID.JR.BN;Jawa Barat;Kota Bandung;NA;NA;Kota;NA;MultiPolygon
3275;Indonesia;City;IDN;IDN.9_1;IDN.9.15_1;ID.JR.BK;Jawa Barat;Kota Bekasi;NA;NA;Kota;NA;Polygon
3271;Indonesia;City;IDN;IDN.9_1;IDN.9.16_1;ID.JR.BG;Jawa Barat;Kota Bogor;NA;NA;Kota;NA;Polygon
3274;Indonesia;City;IDN;IDN.9_1;IDN.9.17_1;ID.JR.CM;Jawa Barat;Kota Cirebon;NA;NA;Kota;NA;Polygon
3272;Indonesia;City;IDN;IDN.9_1;IDN.9.18_1;ID.JR.SM;Jawa Barat;Kota Sukabumi;NA;NA;Kota;NA;Polygon
3278;Indonesia;City;IDN;IDN.9_1;IDN.9.19_1;ID.JR.TM;Jawa Barat;Kota Tasikmalaya;NA;NA;Kota;NA;Polygon
3208;Indonesia;Regency;IDN;IDN.9_1;IDN.9.20_1;ID.JR.KU;Jawa Barat;Kuningan;NA;NA;Kabupaten;NA;Polygon
3210;Indonesia;Regency;IDN;IDN.9_1;IDN.9.21_1;ID.JR.MA;Jawa Barat;Majalengka;NA;NA;Kabupaten;NA;Polygon
3214;Indonesia;Regency;IDN;IDN.9_1;IDN.9.22_1;ID.JR.PU;Jawa Barat;Purwakarta;NA;NA;Kabupaten;NA;Polygon
3213;Indonesia;Regency;IDN;IDN.9_1;IDN.9.23_1;ID.JR.SB;Jawa Barat;Subang;NA;NA;Kabupaten;NA;MultiPolygon
3202;Indonesia;Regency;IDN;IDN.9_1;IDN.9.24_1;ID.JR.SR;Jawa Barat;Sukabumi;NA;NA;Kabupaten;NA;Polygon
3211;Indonesia;Regency;IDN;IDN.9_1;IDN.9.25_1;ID.JR.SD;Jawa Barat;Sumedang;NA;NA;Kabupaten;NA;Polygon
3206;Indonesia;Regency;IDN;IDN.9_1;IDN.9.26_1;ID.JR.TA;Jawa Barat;Tasikmalaya;NA;NA;Kabupaten;NA;MultiPolygon
3288;Indonesia;Water Body;IDN;IDN.9_1;IDN.9.27_1;NA;Jawa Barat;Waduk Cirata;NA;NA;Water Body;NA;Polygon
3304;Indonesia;Regency;IDN;IDN.10_1;IDN.10.1_1;ID.JT.BN;Jawa Tengah;Banjarnegara;NA;NA;Kabupaten;NA;Polygon
3302;Indonesia;Regency;IDN;IDN.10_1;IDN.10.2_1;ID.JT.BY;Jawa Tengah;Banyumas;NA;NA;Kabupaten;NA;MultiPolygon
3325;Indonesia;Regency;IDN;IDN.10_1;IDN.10.3_1;ID.JT.BT;Jawa Tengah;Batang;NA;NA;Kabupaten;NA;Polygon
3316;Indonesia;Regency;IDN;IDN.10_1;IDN.10.4_1;ID.JT.BL;Jawa Tengah;Blora;NA;NA;Kabupaten;NA;Polygon
3309;Indonesia;Regency;IDN;IDN.10_1;IDN.10.5_1;ID.JT.BO;Jawa Tengah;Boyolali;NA;NA;Kabupaten;NA;Polygon
3329;Indonesia;Regency;IDN;IDN.10_1;IDN.10.6_1;ID.JT.BR;Jawa Tengah;Brebes;NA;NA;Kabupaten;NA;Polygon
3301;Indonesia;Regency;IDN;IDN.10_1;IDN.10.7_1;ID.JT.CI;Jawa Tengah;Cilacap;NA;NA;Kabupaten;NA;MultiPolygon
3321;Indonesia;Regency;IDN;IDN.10_1;IDN.10.8_1;ID.JT.DE;Jawa Tengah;Demak;NA;NA;Kabupaten;NA;Polygon
3315;Indonesia;Regency;IDN;IDN.10_1;IDN.10.9_1;ID.JT.GR;Jawa Tengah;Grobogan;NA;NA;Kabupaten;NA;MultiPolygon
3320;Indonesia;Regency;IDN;IDN.10_1;IDN.10.10_1;ID.JT.JE;Jawa Tengah;Jepara;NA;NA;Kabupaten;NA;MultiPolygon
3313;Indonesia;Regency;IDN;IDN.10_1;IDN.10.11_1;ID.JT.KA;Jawa Tengah;Karanganyar;NA;NA;Kabupaten;NA;MultiPolygon
3305;Indonesia;Regency;IDN;IDN.10_1;IDN.10.12_1;ID.JT.KB;Jawa Tengah;Kebumen;NA;NA;Kabupaten;NA;Polygon
3324;Indonesia;Regency;IDN;IDN.10_1;IDN.10.13_1;ID.JT.KN;Jawa Tengah;Kendal;NA;NA;Kabupaten;NA;MultiPolygon
3310;Indonesia;Regency;IDN;IDN.10_1;IDN.10.14_1;ID.JT.KL;Jawa Tengah;Klaten;NA;NA;Kabupaten;NA;Polygon
3371;Indonesia;City;IDN;IDN.10_1;IDN.10.15_1;ID.JT.MM;Jawa Tengah;Kota Magelang;NA;NA;Kota;NA;Polygon
3375;Indonesia;City;IDN;IDN.10_1;IDN.10.16_1;ID.JT.PM;Jawa Tengah;Kota Pekalongan;NA;NA;Kota;NA;Polygon
3374;Indonesia;City;IDN;IDN.10_1;IDN.10.17_1;ID.JT.SM;Jawa Tengah;Kota Semarang;NA;NA;Kota;NA;MultiPolygon
3376;Indonesia;City;IDN;IDN.10_1;IDN.10.18_1;ID.JT.TM;Jawa Tengah;Kota Tegal;NA;NA;Kota;NA;Polygon
3319;Indonesia;Regency;IDN;IDN.10_1;IDN.10.19_1;ID.JT.KU;Jawa Tengah;Kudus;NA;NA;Kabupaten;NA;MultiPolygon
3308;Indonesia;Regency;IDN;IDN.10_1;IDN.10.20_1;ID.JT.MR;Jawa Tengah;Magelang;NA;NA;Kabupaten;NA;Polygon
3318;Indonesia;Regency;IDN;IDN.10_1;IDN.10.21_1;ID.JT.PA;Jawa Tengah;Pati;NA;NA;Kabupaten;NA;Polygon
3326;Indonesia;Regency;IDN;IDN.10_1;IDN.10.22_1;ID.JT.PR;Jawa Tengah;Pekalongan;NA;NA;Kabupaten;NA;Polygon
3327;Indonesia;Regency;IDN;IDN.10_1;IDN.10.23_1;ID.JT.PL;Jawa Tengah;Pemalang;NA;NA;Kabupaten;NA;Polygon
3303;Indonesia;Regency;IDN;IDN.10_1;IDN.10.24_1;ID.JT.PB;Jawa Tengah;Purbalingga;NA;NA;Kabupaten;NA;Polygon
